Timestamp,ITB_VAV_A42_W3338_01_FLW_AV_TL,ITB_VAV_A42_W3338_01_RT_AV_TL,ITB_VAV_A42_W3338_01_CO2_TL
2024-03-24 00:00:00,85.5353317,21.9907932,458.614044
2024-03-24 00:15:00,83.1612701,21.9907932,403.901184
2024-03-24 00:30:00,83.6195526,21.8657169,404.877991
2024-03-24 00:45:00,83.5712204,21.7406406,405.854797
2024-03-24 01:00:00,82.7790604,21.6780949,464.951263
2024-03-24 01:15:00,82.7790604,21.6780949,404.477905
2024-03-24 01:30:00,82.7790604,21.6155491,410.7388
2024-03-24 01:45:00,82.7790604,21.6155491,402.412231
2024-03-24 02:00:00,84.199585,21.5530186,420.995239
2024-03-24 02:15:00,83.6666183,21.4904881,422.371979
2024-03-24 02:30:00,82.7790604,21.427927,409.761993
2024-03-24 02:45:00,85.5195312,21.427927,411.853058
2024-03-24 03:00:00,85.2880859,21.427927,413.669189
2024-03-24 03:15:00,82.7790604,21.3653965,415.66333
2024-03-24 03:30:00,82.7790604,21.3653965,428.809631
2024-03-24 03:45:00,86.8925095,21.302866,422.948822
2024-03-24 04:00:00,82.7790604,21.302866,423.925629
2024-03-24 04:15:00,83.5163651,21.2403202,430.309998
2024-03-24 04:30:00,82.7790604,21.2272015,424.902435
2024-03-24 04:45:00,83.2770844,21.1777744,423.71701
2024-03-24 05:00:00,82.7790604,21.1777744,429.786438
2024-03-24 05:15:00,82.7790604,21.1152439,422.948822
2024-03-24 05:30:00,82.7790604,21.0106583,445.892151
2024-03-24 05:45:00,82.7790604,20.7399998,432.888672
2024-03-24 06:00:00,85.3507767,20.7399998,433.693634
2024-03-24 06:15:00,82.7790604,20.7399998,444.893036
2024-03-24 06:30:00,82.7790604,20.677454,442.973236
2024-03-24 06:45:00,82.7790604,20.7399998,445.903625
2024-03-24 07:00:00,82.7790604,20.8025455,431.740051
2024-03-24 07:15:00,676.197388,21.0526981,436.624054
2024-03-24 07:30:00,753.538635,21.302866,470.812073
2024-03-24 07:45:00,762.541809,21.427927,461.979431
2024-03-24 08:00:00,752.140991,21.6155491,483.022064
2024-03-24 08:15:00,768.219666,21.6155491,439.030029
