Timestamp,ITB_VAV_A42_W3327_01_CO2_TL,ITB_VAV_A42_W3327_01_RT_AV_TL,ITB_VAV_A42_W3327_01_FLW_AV_TL
2024-03-24 00:00:00,525.024536,22.053339,80.4492493
2024-03-24 00:15:00,458.602051,22.1158695,80.6691742
2024-03-24 00:30:00,454.649811,21.9907932,83.8091049
2024-03-24 00:45:00,455.671631,21.9282475,80.4171829
2024-03-24 01:00:00,522.582581,21.8657169,81.8457413
2024-03-24 01:15:00,450.787628,21.8031712,81.2014084
2024-03-24 01:30:00,463.974487,21.8031712,82.0977783
2024-03-24 01:45:00,451.764435,21.7806606,79.5634918
2024-03-24 02:00:00,455.470276,21.6780949,81.1968231
2024-03-24 02:15:00,453.709534,21.6780949,81.2268295
2024-03-24 02:30:00,463.974487,21.6155491,80.3833084
2024-03-24 02:45:00,474.719269,21.6155491,79.5634918
2024-03-24 03:00:00,465.92807,21.6155491,84.2817307
2024-03-24 03:15:00,452.741241,21.5530186,81.1280136
2024-03-24 03:30:00,460.555634,21.5530186,80.5592804
2024-03-24 03:45:00,453.718048,21.5530186,79.5634918
2024-03-24 04:00:00,455.671631,21.5530186,80.3463135
2024-03-24 04:15:00,466.728271,21.427927,80.9500504
2024-03-24 04:30:00,452.867371,21.427927,79.5634918
2024-03-24 04:45:00,473.742493,21.3653965,79.9033356
2024-03-24 05:00:00,466.904877,21.427927,79.5634918
2024-03-24 05:15:00,455.671631,21.3653965,80.294632
2024-03-24 05:30:00,485.952484,21.1777744,80.600502
2024-03-24 05:45:00,470.812073,21.1152439,80.6859131
2024-03-24 06:00:00,466.400635,20.9901676,80.6192551
2024-03-24 06:15:00,495.72049,20.9276218,79.5634918
2024-03-24 06:30:00,494.743683,20.9276218,79.5634918
2024-03-24 06:45:00,507.443817,21.0526981,79.8551102
2024-03-24 07:00:00,474.719269,21.1152439,83.6649857
2024-03-24 07:15:00,467.881683,21.302866,661.606201
2024-03-24 07:30:00,515.697449,21.5530186,687.541199
2024-03-24 07:45:00,489.85968,21.6780949,688.6297
2024-03-24 08:00:00,510.860931,21.8031712,678.815491
2024-03-24 08:15:00,472.462158,21.9282475,677.515747
2024-03-24 08:30:00,491.813263,21.9282475,676.782471
2024-03-24 08:45:00,478.626495,21.9907932,684.700073
2024-03-24 09:00:00,472.97287,22.053339,706.151855
2024-03-24 09:15:00,501.665771,22.1784153,737.176758
2024-03-24 09:30:00,497.674072,22.3034916,714.866394
2024-03-24 09:45:00,484.975677,22.3660374,417.943176
2024-03-24 10:00:00,501.581299,22.3660374,154.198242
2024-03-24 10:15:00,478.626495,22.4285679,155.328415
2024-03-24 10:30:00,508.907318,22.4285679,152.248825
2024-03-24 10:45:00,518.675354,22.3660374,155.705353
2024-03-24 11:00:00,466.917358,22.4911137,207.219589
2024-03-24 11:15:00,528.931763,22.3034916,392.595398
2024-03-24 11:30:00,476.672882,22.3034916,604.067017
2024-03-24 11:45:00,505.000122,22.2409611,592.604248
2024-03-24 12:00:00,546.025757,22.2409611,581.65155
2024-03-24 12:15:00,531.862122,22.2409611,591.465454
2024-03-24 12:30:00,557.747375,22.1784153,607.152954
2024-03-24 12:45:00,596.678711,22.2409611,579.714844
2024-03-24 13:00:00,631.007446,22.2409611,656.620361
2024-03-24 13:15:00,595.842651,22.2409611,714.342163
2024-03-24 13:30:00,563.839172,22.1784153,742.004761
2024-03-24 13:45:00,573.864563,22.1784153,717.359924
2024-03-24 14:00:00,499.627686,21.9907932,737.48822
